name,address,cuisines,id,image,numberOfReviews,phone,photoCount,rankingPosition,rating,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,rawRanking,webUrl,website
Hwangsol Village,"16-10, Jungang-ro160beon-Gil",Barbecue,8962119,https://media-cdn.tripadvisor.com/media/photo-o/07/ff/a7/1d/minsokchon-chungjangno.jpg,65,+82 62-222-4815,15,1,4.5,0,2,5,30,28,3.40809273719788,https://www.tripadvisor.com/Restaurant_Review-g304129-d8962119-Reviews-Hwangsol_Village-Gwangju.html,http://www.hsckorea.com/
Caffeine Sinhyeon-ri,"68, Saemal-gil 167beon-gil, Opo-eup",,8776024,https://media-cdn.tripadvisor.com/media/photo-o/0e/c9/04/5b/photo4jpg.jpg,18,+82 70-5073-2424,13,1,4.5,0,0,2,9,7,3.17034292221069,https://www.tripadvisor.com/Restaurant_Review-g2024868-d8776024-Reviews-Caffeine_Sinhyeon_ri-Gwangju_Gyeonggi_do.html,https://www.facebook.com/caffeinesinhyeonri
First Nepal,"6-44, Seoseok-ro 7beon-gil, Dong-gu",Indian,8532439,https://media-cdn.tripadvisor.com/media/photo-o/0f/32/03/72/photo4jpg.jpg,41,+82 62-225-8771,15,2,4,0,2,5,20,14,3.27419543266296,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532439-Reviews-First_Nepal-Gwangju.html,
Nakseonjae,"101, Buldang-Gil",,9382959,https://media-cdn.tripadvisor.com/media/photo-o/0c/f0/14/d1/20160911-174130-largejpg.jpg,21,+82 31-746-3003,23,2,4,0,2,3,10,6,3.15000414848328,https://www.tripadvisor.com/Restaurant_Review-g2024868-d9382959-Reviews-Nakseonjae-Gwangju_Gyeonggi_do.html,
Kungjeun Bakery,"93-6 Chungjang-ro, Chungjang-dong, Dong-gu",Cafe,9365408,https://media-cdn.tripadvisor.com/media/photo-o/0a/63/04/fd/photo0jpg.jpg,35,+82 62-222-3477,18,3,4,0,0,8,14,13,3.26528906822205,https://www.tripadvisor.com/Restaurant_Review-g304129-d9365408-Reviews-Kungjeun_Bakery-Gwangju.html,http://www.kungjeun.co.kr/
Gangmaeul Daramjwi,"299-2, Namjong-myeon",Asian,4033252,https://media-cdn.tripadvisor.com/media/photo-o/04/92/f2/a0/caption.jpg,16,+82 31-762-5574,21,3,4,0,1,1,9,5,3.13283634185791,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4033252-Reviews-Gangmaeul_Daramjwi-Gwangju_Gyeonggi_do.html,
Mahanji,"39-1, Munhwajeondang-ro, Dong-gu",,8532292,https://media-cdn.tripadvisor.com/media/photo-o/0f/5d/26/b4/photo1jpg.jpg,28,+82 62-234-9260,4,4,4.5,0,1,1,14,12,3.23290491104126,https://www.tripadvisor.com/Restaurant_Review-g304129-d8532292-Reviews-Mahanji-Gwangju.html,
Cheongwon Momil,"31-7, Chungjangno3-ga, Dong-gu",Asian,4122686,https://media-cdn.tripadvisor.com/media/photo-o/0d/13/09/bd/20160923-201143-largejpg.jpg,11,+82 62-222-2210,8,4,4.5,0,0,0,6,5,3.11411952972412,https://www.tripadvisor.com/Restaurant_Review-g2024868-d4122686-Reviews-Cheongwon_Momil-Gwangju_Gyeonggi_do.html,
Le Ciel Blue,"718, Sangmu-daero, Seo-gu",Italian,8285825,https://media-cdn.tripadvisor.com/media/photo-o/0b/94/82/b2/le-ciel-blue.jpg,24,+82 62-374-1555,9,5,4.5,0,0,2,12,10,3.21477150917053,https://www.tripadvisor.com/Restaurant_Review-g304129-d8285825-Reviews-Le_Ciel_Blue-Gwangju.html,http://www.facebook.com/LECIELBLUEGJ
La Taqueria,"4, Seokdun-gil, Toechon-myeon",,20264739,https://media-cdn.tripadvisor.com/media/photo-w/1b/f4/58/37/caption.jpg,4,+82 31-767-8976,13,5,5,0,0,0,0,4,3.10225701332092,https://www.tripadvisor.com/Restaurant_Review-g2024868-d20264739-Reviews-La_Taqueria-Gwangju_Gyeonggi_do.html,https://thetacohouse.wixsite.com/lataqueria?fbclid=IwAR2tU5C70-0eMtaaIYzlwDx-D3P9KGuM60GjGUxvvpJAz0fpw-LDqv_sgQI
