address,cuisines/0,cuisines/1,cuisines/2,cuisines/3,id,image,latitude,localName,longitude,mealTypes/0,menuWebUrl,name,numberOfReviews,phone,priceLevel,priceRange,rankingDenominator,rankingPosition,rating,rawRanking,webUrl,website
"78, Sangmupyeonghwa-Ro, Gwangju South Korea",,,,,9287504,https://media-cdn.tripadvisor.com/media/photo-w/17/63/b4/6d/photo0jpg.jpg,,설빙,,,,Snow Ice,7,+82 62-373-8808,,,954,25,4.5,3.09831380844116,https://www.tripadvisor.com/Restaurant_Review-g304129-d9287504-Reviews-Snow_Ice-Gwangju.html,
"809, Imbangul-Daero, Gwangju South Korea",,,,,9018680,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/99/ae/04/photo0jpg.jpg,,고려조삼계탕,,Lunch,,Goryeo Jo Samgyetang,6,+82 62-974-3398,,,954,24,5,3.10113406181335,https://www.tripadvisor.com/Restaurant_Review-g304129-d9018680-Reviews-Goryeo_Jo_Samgyetang-Gwangju.html,
"38, Yangsan-ro, Buk-gu, Gwangju, Gyeonggi-do 61071 South Korea",Asian,Korean,,,16131287,,35.210396,봉구비어 - 광주양산점,126.87834,,http://bonggubeer.com/menu/snack/,Bonggu Beer - Gwangju Yangsan,1,+82 62-575-9080,,,212,107,4,3.01255035400391,https://www.tripadvisor.com/Restaurant_Review-g2024868-d16131287-Reviews-Bonggu_Beer_Gwangju_Yangsan-Gwangju_Gyeonggi_do.html,http://bonggubeer.com/store/guide/?category1=&category2=&keyword=%EA%B4%91%EC%A3%BC%EC%96%91%EC%82%B0%EC%A0%90
"136, Donggyecheon-Ro, Gwangju South Korea",,,,,9321155,,,플로리다,,,,Peulrorida,8,,,,954,23,4.5,3.10310101509094,https://www.tripadvisor.com/Restaurant_Review-g304129-d9321155-Reviews-Peulrorida-Gwangju.html,
"114, Sangmujungang-Ro, Gwangju South Korea",,,,,9139507,https://media-cdn.tripadvisor.com/media/photo-o/09/e5/53/22/coboc.jpg,,COBOC,,,,Coboc,11,,$$ - $$$,,954,21,4.5,3.1106104850769,https://www.tripadvisor.com/Restaurant_Review-g304129-d9139507-Reviews-Coboc-Gwangju.html,
"97-6, Sangmusimin-Ro, Gwangju South Korea",,,,,9272775,https://media-cdn.tripadvisor.com/media/photo-o/0a/29/7a/0e/img-20160128-132228-largejpg.jpg,35.1557,서울깍두기,126.8503,,,Seoul Kkakdugi,9,+82 62-385-2123,$$ - $$$,,954,20,4,3.11071109771729,https://www.tripadvisor.com/Restaurant_Review-g304129-d9272775-Reviews-Seoul_Kkakdugi-Gwangju.html,
"15, Uncheon-ro31beon-Gil, Gwangju South Korea",,,,,9204102,https://media-cdn.tripadvisor.com/media/photo-o/0c/ae/8b/18/caption.jpg,35.135326,유진정,126.857414,,,Yu Jinjeong,8,+82 62-372-5289,$$ - $$$,,954,22,4.5,3.10811924934387,https://www.tripadvisor.com/Restaurant_Review-g304129-d9204102-Reviews-Yu_Jinjeong-Gwangju.html,
"708, Sangmu-daero, Seo-gu, Gwangju 61999 South Korea",Cafe,,,,8385344,,,빈드럭스,,,,Bean Drugs,9,+82 62-382-2400,$,,954,18,4.5,3.11337161064148,https://www.tripadvisor.com/Restaurant_Review-g304129-d8385344-Reviews-Bean_Drugs-Gwangju.html,
"841, Hoejae-ro, Seo-gu, Gwangju 62070 South Korea",Asian,Korean,,,8535648,https://media-cdn.tripadvisor.com/media/photo-o/0a/f1/be/81/caption.jpg,35.1193,김강심 칼국수,126.85789,,,Kimkangsim Kalguksu,17,+82 62-682-0801,$,"$5,000 - $7,000",954,17,4,3.11499571800232,https://www.tripadvisor.com/Restaurant_Review-g304129-d8535648-Reviews-Kimkangsim_Kalguksu-Gwangju.html,
"45, Baekseo-ro 125beon-gil, Dong-gu, Gwangju 61488 South Korea",Mexican,,,,8385343,https://media-cdn.tripadvisor.com/media/photo-o/09/74/a6/51/tequilaz-r.jpg,35.145535,데낄라즈,126.91681,,,Tequilaz R.,10,+82 10-5459-2436,$$ - $$$,,954,16,4.5,3.11533284187317,https://www.tripadvisor.com/Restaurant_Review-g304129-d8385343-Reviews-Tequilaz_R-Gwangju.html,http://www.facebook.com/TequilazR
"126, Gyeongyang-ro, Buk-gu, Gwangju 61245 South Korea",Asian,Korean,,,4121868,https://media-cdn.tripadvisor.com/media/photo-o/05/69/aa/a9/yeongmi-oritang.jpg,,영미오리탕,,,,Yeongmi Oritang,12,+82 62-527-0248,$$ - $$$,,954,15,4.5,3.11867690086365,https://www.tripadvisor.com/Restaurant_Review-g304129-d4121868-Reviews-Yeongmi_Oritang-Gwangju.html,
"180, Bongseon-Ro, Gwangju South Korea",,,,,9279675,https://media-cdn.tripadvisor.com/media/photo-o/0b/02/78/33/35000.jpg,,신락원,,,,Sin Rakwon,9,,,,954,19,4.5,3.11246013641357,https://www.tripadvisor.com/Restaurant_Review-g304129-d9279675-Reviews-Sin_Rakwon-Gwangju.html,
