address,imageUrls/0,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,phoneUnformatted,searchPageLoadedUrl,searchPageUrl
"627 Sangmu-daero, Mareuk-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipM2JeehWNLJmFWHcsa9uHdjPlT3LEsW7nmmkCoM=w1920-h1080-k-no,35.140696,126.833498,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-384-5100,82623845100,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"23 Geumnamno 1(il)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipN4h_BoiOgFoZ1HfVxzOlAs6kM7y3LWUGDl_2oz=w1920-h1080-k-no,35.1479645,126.9185118,,,,,,,,,,,,,,,+82 62-222-8980,82622228980,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"1218-1 Chipyeong-dong, Seo-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipOYQSyZm7NVVLPn65Q8bIt2Svf2TtTba20pTDsA=w1920-h1080-k-no,35.1542404,126.851018,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+82 62-384-2100,82623842100,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"South Korea, Gwangju, Seo-gu, Sangmu-daero, 773 106 ?",https://lh5.googleusercontent.com/p/AF1QipMaHhIBR5TqEmfVmrA0Ns59GB5rgQbRcmlwWOGP=w1920-h1080-k-no,35.1461518,126.8467644,Monday,11:30?AM to 9:30?PM,Tuesday,11:30?AM to 9:30?PM,Wednesday,11:30?AM to 9:30?PM,Thursday,11:30?AM to 9:30?PM,Friday,11:30?AM to 9:30?PM,Saturday,11:30?AM to 9:30?PM,Sunday,11:30?AM to 9:30?PM,+82 62-370-9000,82623709000,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"1092 Suwan-dong, Gwangsan-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNy8UW6weYEGgzFarKq0oo9DVcA0WNQ5v-Gz79_=w1920-h1080-k-no,35.1915971,126.8255292,Monday,10:30?AM to 8:30?PM,Tuesday,10:30?AM to 8:30?PM,Wednesday,10:30?AM to 8:30?PM,Thursday,10:30?AM to 8:30?PM,Friday,10:30?AM to 8:30?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-962-0888,82629620888,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"400-4 Hagun-dong, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipNGxJh1WSMHa95dZNOHrDBzuvjuAx07jNaK1CEv=w1920-h1080-k-no,35.1338039,126.955747,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"??? ??, South Korea",https://lh5.googleusercontent.com/p/AF1QipOnOhu_YOYGp2y83v_AwGFFt1Eeuqpi74fj-4NE=w1920-h1080-k-no,35.161986,126.8820852,Monday,8?AM to 11?PM,Tuesday,8?AM to 11?PM,Wednesday,8?AM to 11?PM,Thursday,8?AM to 11?PM,Friday,8?AM to 11?PM,Saturday,8?AM to 11?PM,Sunday,8?AM to 11?PM,+82 1688-7540,8216887540,"https://www.google.com/maps/search/shopping+mall/@35.2259191,126.7481633,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.22591908987812,126.74816330003996,15z?hl=en"
"26 Chungjangno 2(i)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipOCnSvl_kFFQdiGjRrO4bLdHNpJiBYKnqBobATm=w1920-h1080-k-no,35.14827,126.9159565,Monday,10?AM to 9?PM,Tuesday,10?AM to 9?PM,Wednesday,10?AM to 9?PM,Thursday,10?AM to 9?PM,Friday,10?AM to 9?PM,Saturday,10?AM to 9?PM,Sunday,10?AM to 9?PM,+82 62-234-0280,82622340280,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"12-7 Geumnamno 1(il)-ga, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipM4Fi4bqoCwEEXv6PuQfQItf3nyfOSja2jfwIOR=w1920-h1080-k-no,35.1478375,126.9188506,Monday,10?AM to 8?PM,Tuesday,10?AM to 8?PM,Wednesday,10?AM to 8?PM,Thursday,10?AM to 8?PM,Friday,10?AM to 8?PM,Saturday,10?AM to 8?PM,Sunday,10?AM to 8?PM,+82 62-224-0591,82622240591,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
"163 Jungang-ro, Dong-gu, Gwangju, South Korea",https://lh5.googleusercontent.com/p/AF1QipMx2ouGir3XmH7EWqmtCSVnFzcWfZ480Z-ZwX8c=w1920-h1080-k-no,35.1486399,126.9133111,Monday,10:30?AM to 9?PM,Tuesday,10:30?AM to 9?PM,Wednesday,10:30?AM to 9?PM,Thursday,10:30?AM to 9?PM,Friday,10:30?AM to 9?PM,Saturday,10:30?AM to 9?PM,Sunday,10:30?AM to 9?PM,+82 62-718-9300,82627189300,"https://www.google.com/maps/search/shopping+mall/@35.1136573,126.9881491,15z?hl=en&entry=ttu","https://www.google.com/maps/search/shopping%20mall/@35.11365726607312,126.98814905992816,15z?hl=en"
