review_id,user_id,hotel_id,rating,review_txt
1,77,2,2.09,Review text for review_1
2,89,2,3.41,Review text for review_2
3,87,1,4.41,Review text for review_3
4,43,3,4.52,Review text for review_4
5,35,5,2.5,Review text for review_5
6,77,3,2.1,Review text for review_6
7,86,1,4.27,Review text for review_7
8,72,5,2.2,Review text for review_8
9,86,1,3.71,Review text for review_9
10,30,5,3.63,Review text for review_10
11,87,3,1.18,Review text for review_11
12,62,5,2.81,Review text for review_12
13,36,4,3.62,Review text for review_13
14,28,4,3.55,Review text for review_14
15,61,1,1.07,Review text for review_15
16,75,1,3.36,Review text for review_16
17,67,3,1.2,Review text for review_17
18,84,1,1.03,Review text for review_18
19,53,2,3.56,Review text for review_19
20,52,5,2.24,Review text for review_20
21,32,2,1.5,Review text for review_21
22,27,2,2.93,Review text for review_22
23,95,5,4.3,Review text for review_23
24,78,2,4.73,Review text for review_24
25,84,2,3.61,Review text for review_25
26,49,3,3.75,Review text for review_26
27,100,5,3.35,Review text for review_27
28,12,1,4.88,Review text for review_28
29,66,5,1.76,Review text for review_29
30,99,5,4.87,Review text for review_30
31,52,3,1.93,Review text for review_31
32,68,1,2.48,Review text for review_32
33,41,5,1.6,Review text for review_33
34,27,1,1.99,Review text for review_34
35,79,1,4.83,Review text for review_35
36,38,3,2.16,Review text for review_36
37,87,3,1.99,Review text for review_37
38,76,4,3.5,Review text for review_38
39,46,3,3.63,Review text for review_39
40,25,5,3.69,Review text for review_40
41,17,5,3.07,Review text for review_41
42,96,2,4.61,Review text for review_42
43,55,3,2.11,Review text for review_43
44,5,5,1.74,Review text for review_44
45,21,2,3.7,Review text for review_45
46,2,4,3.29,Review text for review_46
47,36,2,3.99,Review text for review_47
48,83,3,3.43,Review text for review_48
49,45,2,1.14,Review text for review_49
50,35,2,3.17,Review text for review_50
51,32,2,3.29,Review text for review_51
52,45,5,2.33,Review text for review_52
53,57,1,3.25,Review text for review_53
54,49,4,3.39,Review text for review_54
55,45,5,4.87,Review text for review_55
56,93,3,3.74,Review text for review_56
57,54,1,1.95,Review text for review_57
58,40,5,4.4,Review text for review_58
59,97,3,4.14,Review text for review_59
60,58,4,2.78,Review text for review_60
61,53,1,1.39,Review text for review_61
62,24,2,2.23,Review text for review_62
63,64,5,1.68,Review text for review_63
64,35,2,2.2,Review text for review_64
65,17,3,2.66,Review text for review_65
66,21,4,2.08,Review text for review_66
67,81,1,1.17,Review text for review_67
68,27,4,2.51,Review text for review_68
69,19,3,4.92,Review text for review_69
70,4,2,3.2,Review text for review_70
71,91,5,1.04,Review text for review_71
72,55,4,4.77,Review text for review_72
73,33,3,2.28,Review text for review_73
74,72,1,3.46,Review text for review_74
75,68,4,4.68,Review text for review_75
76,55,5,1.97,Review text for review_76
77,88,5,3.21,Review text for review_77
78,89,5,4.06,Review text for review_78
79,9,4,4.9,Review text for review_79
80,17,1,4.81,Review text for review_80
81,68,3,3.57,Review text for review_81
82,100,4,3.44,Review text for review_82
83,65,4,1.72,Review text for review_83
84,67,3,2.4,Review text for review_84
85,92,2,2.58,Review text for review_85
86,96,1,2.26,Review text for review_86
87,18,2,4.07,Review text for review_87
88,11,3,3.96,Review text for review_88
89,92,4,1.92,Review text for review_89
90,66,2,2.18,Review text for review_90
91,74,2,1.9,Review text for review_91
92,46,2,1.45,Review text for review_92
93,90,1,4.29,Review text for review_93
94,70,3,4.53,Review text for review_94
95,10,5,2.96,Review text for review_95
96,93,5,4.11,Review text for review_96
97,100,4,2.26,Review text for review_97
98,79,3,2.1,Review text for review_98
99,75,5,4.99,Review text for review_99
100,31,2,4.21,Review text for review_100
101,30,4,3.06,Review text for review_101
102,2,1,3.94,Review text for review_102
103,34,4,3.05,Review text for review_103
104,17,3,4.76,Review text for review_104
105,36,4,1.77,Review text for review_105
106,58,3,4.92,Review text for review_106
107,70,3,2.36,Review text for review_107
108,40,1,3.99,Review text for review_108
109,78,3,2.77,Review text for review_109
110,78,5,4.18,Review text for review_110
111,85,2,2.89,Review text for review_111
112,67,2,3.43,Review text for review_112
113,50,5,4.58,Review text for review_113
114,75,5,1.99,Review text for review_114
115,62,5,3.47,Review text for review_115
116,89,2,3.0,Review text for review_116
117,42,2,2.04,Review text for review_117
118,23,2,4.87,Review text for review_118
119,27,1,2.99,Review text for review_119
120,62,2,2.5,Review text for review_120
121,79,4,3.64,Review text for review_121
122,76,4,3.11,Review text for review_122
123,34,3,2.57,Review text for review_123
124,54,1,3.94,Review text for review_124
125,6,2,3.05,Review text for review_125
126,83,1,4.03,Review text for review_126
127,88,3,4.82,Review text for review_127
128,64,1,4.87,Review text for review_128
129,14,1,2.11,Review text for review_129
130,79,1,1.23,Review text for review_130
131,58,2,2.48,Review text for review_131
132,25,1,3.85,Review text for review_132
133,84,1,2.77,Review text for review_133
134,23,5,4.86,Review text for review_134
135,33,4,1.13,Review text for review_135
136,78,1,3.66,Review text for review_136
137,19,1,2.73,Review text for review_137
138,14,1,3.63,Review text for review_138
139,69,4,1.07,Review text for review_139
140,78,2,3.66,Review text for review_140
141,54,3,3.32,Review text for review_141
142,4,3,4.08,Review text for review_142
143,90,1,2.05,Review text for review_143
144,14,2,4.67,Review text for review_144
145,100,2,3.98,Review text for review_145
146,58,2,3.32,Review text for review_146
147,20,3,3.65,Review text for review_147
148,63,3,4.83,Review text for review_148
149,44,4,3.33,Review text for review_149
150,16,1,2.1,Review text for review_150
151,75,1,4.92,Review text for review_151
152,28,3,3.99,Review text for review_152
153,51,4,2.87,Review text for review_153
154,24,2,1.45,Review text for review_154
155,34,2,4.62,Review text for review_155
156,50,1,2.96,Review text for review_156
157,29,1,2.34,Review text for review_157
158,23,4,1.29,Review text for review_158
159,95,2,3.01,Review text for review_159
160,11,5,1.13,Review text for review_160
161,91,5,4.95,Review text for review_161
162,25,2,2.94,Review text for review_162
163,74,4,3.01,Review text for review_163
164,47,5,3.55,Review text for review_164
165,32,2,3.82,Review text for review_165
166,76,3,3.62,Review text for review_166
167,64,1,2.71,Review text for review_167
168,89,2,2.41,Review text for review_168
169,5,3,3.61,Review text for review_169
170,2,5,2.8,Review text for review_170
171,19,1,2.35,Review text for review_171
172,98,4,4.02,Review text for review_172
173,83,3,2.43,Review text for review_173
174,83,1,1.98,Review text for review_174
175,23,5,3.25,Review text for review_175
176,31,4,2.31,Review text for review_176
177,70,3,3.32,Review text for review_177
178,38,4,1.05,Review text for review_178
179,31,3,1.02,Review text for review_179
180,51,2,2.48,Review text for review_180
181,15,5,1.73,Review text for review_181
182,98,4,2.32,Review text for review_182
183,95,1,3.27,Review text for review_183
184,60,5,3.36,Review text for review_184
185,9,1,4.97,Review text for review_185
186,35,4,3.85,Review text for review_186
187,45,2,4.73,Review text for review_187
188,7,5,2.06,Review text for review_188
189,81,2,1.26,Review text for review_189
190,13,4,2.76,Review text for review_190
191,25,2,1.14,Review text for review_191
192,48,4,3.02,Review text for review_192
193,1,5,4.28,Review text for review_193
194,79,4,3.08,Review text for review_194
195,73,2,3.87,Review text for review_195
196,31,3,4.03,Review text for review_196
197,7,1,1.79,Review text for review_197
198,67,2,2.1,Review text for review_198
199,51,4,2.07,Review text for review_199
200,65,3,3.34,Review text for review_200
201,73,5,2.05,Review text for review_201
202,11,2,1.4,Review text for review_202
203,65,2,4.86,Review text for review_203
204,16,3,1.56,Review text for review_204
205,62,3,3.67,Review text for review_205
206,33,5,3.37,Review text for review_206
207,3,1,4.85,Review text for review_207
208,9,2,1.23,Review text for review_208
209,41,3,3.55,Review text for review_209
210,97,4,3.98,Review text for review_210
211,15,3,3.95,Review text for review_211
212,45,2,1.54,Review text for review_212
213,53,2,2.46,Review text for review_213
214,62,2,4.7,Review text for review_214
215,34,1,2.37,Review text for review_215
216,52,4,4.62,Review text for review_216
217,78,5,3.42,Review text for review_217
218,45,4,2.34,Review text for review_218
219,78,5,2.64,Review text for review_219
220,24,2,3.32,Review text for review_220
221,7,1,4.01,Review text for review_221
222,94,1,3.76,Review text for review_222
223,32,5,2.91,Review text for review_223
224,15,2,4.24,Review text for review_224
225,13,3,4.31,Review text for review_225
226,61,3,3.94,Review text for review_226
227,84,2,3.26,Review text for review_227
228,12,1,2.57,Review text for review_228
229,23,5,3.85,Review text for review_229
230,10,1,3.96,Review text for review_230
231,87,3,1.46,Review text for review_231
232,51,4,2.36,Review text for review_232
233,43,4,3.56,Review text for review_233
234,36,4,2.49,Review text for review_234
235,60,2,1.89,Review text for review_235
236,51,2,2.93,Review text for review_236
237,4,1,4.32,Review text for review_237
238,37,2,4.45,Review text for review_238
239,52,4,4.93,Review text for review_239
240,85,3,4.51,Review text for review_240
241,87,4,1.44,Review text for review_241
242,3,5,4.54,Review text for review_242
243,40,4,2.4,Review text for review_243
244,98,5,4.19,Review text for review_244
245,24,2,1.32,Review text for review_245
246,63,5,1.17,Review text for review_246
247,25,1,4.17,Review text for review_247
248,32,2,4.68,Review text for review_248
