review_id,user_id,hotel_id,rating,review_txt
1,u_4,2,4.73,Review text for review_1
2,u_100,2,2.52,Review text for review_2
3,u_79,2,2.94,Review text for review_3
4,u_38,1,1.35,Review text for review_4
5,u_81,1,4.5,Review text for review_5
6,u_27,2,3.73,Review text for review_6
7,u_34,1,3.91,Review text for review_7
8,u_43,1,3.26,Review text for review_8
9,u_36,2,4.3,Review text for review_9
10,u_74,1,4.52,Review text for review_10
11,u_16,1,4.94,Review text for review_11
12,u_22,1,3.85,Review text for review_12
13,u_42,1,4.3,Review text for review_13
14,u_34,1,4.12,Review text for review_14
15,u_1,1,2.26,Review text for review_15
16,u_32,2,1.53,Review text for review_16
17,u_47,1,1.76,Review text for review_17
18,u_63,1,1.18,Review text for review_18
19,u_39,1,3.07,Review text for review_19
20,u_86,1,4.59,Review text for review_20
21,u_48,1,2.16,Review text for review_21
22,u_21,1,4.85,Review text for review_22
23,u_61,1,1.71,Review text for review_23
24,u_73,2,2.48,Review text for review_24
25,u_60,2,1.63,Review text for review_25
26,u_26,1,3.63,Review text for review_26
27,u_5,1,3.66,Review text for review_27
28,u_30,2,4.72,Review text for review_28
29,u_56,2,4.06,Review text for review_29
30,u_19,2,3.44,Review text for review_30
31,u_98,2,1.3,Review text for review_31
32,u_53,1,2.45,Review text for review_32
33,u_7,2,2.62,Review text for review_33
34,u_50,2,2.1,Review text for review_34
35,u_9,1,4.25,Review text for review_35
36,u_64,2,2.7,Review text for review_36
37,u_52,2,4.32,Review text for review_37
38,u_38,2,1.91,Review text for review_38
39,u_97,1,2.88,Review text for review_39
40,u_62,1,3.1,Review text for review_40
41,u_69,1,3.77,Review text for review_41
42,u_63,1,1.59,Review text for review_42
43,u_49,1,4.5,Review text for review_43
44,u_98,1,4.58,Review text for review_44
45,u_31,2,4.83,Review text for review_45
46,u_30,1,3.43,Review text for review_46
47,u_18,1,2.16,Review text for review_47
48,u_32,2,1.11,Review text for review_48
49,u_32,2,3.44,Review text for review_49
50,u_27,2,4.75,Review text for review_50
51,u_89,2,3.39,Review text for review_51
52,u_12,2,3.34,Review text for review_52
53,u_24,2,4.76,Review text for review_53
54,u_75,2,3.75,Review text for review_54
55,u_44,2,2.9,Review text for review_55
56,u_85,1,1.37,Review text for review_56
57,u_86,1,3.46,Review text for review_57
58,u_12,1,3.81,Review text for review_58
59,u_21,2,3.98,Review text for review_59
60,u_22,1,3.78,Review text for review_60
61,u_9,2,2.15,Review text for review_61
62,u_34,2,3.49,Review text for review_62
63,u_12,1,4.75,Review text for review_63
64,u_11,2,3.81,Review text for review_64
65,u_63,2,3.12,Review text for review_65
66,u_27,2,4.53,Review text for review_66
67,u_9,1,1.69,Review text for review_67
68,u_31,2,4.41,Review text for review_68
69,u_56,2,4.85,Review text for review_69
70,u_39,1,4.64,Review text for review_70
71,u_89,2,1.38,Review text for review_71
72,u_26,1,4.23,Review text for review_72
73,u_64,1,4.21,Review text for review_73
74,u_30,1,4.15,Review text for review_74
75,u_8,1,2.11,Review text for review_75
76,u_82,2,1.92,Review text for review_76
77,u_89,2,4.02,Review text for review_77
78,u_65,1,4.91,Review text for review_78
79,u_37,2,3.22,Review text for review_79
80,u_70,1,1.57,Review text for review_80
81,u_76,2,1.81,Review text for review_81
82,u_92,2,2.02,Review text for review_82
83,u_31,2,3.41,Review text for review_83
84,u_45,2,1.56,Review text for review_84
85,u_32,1,3.03,Review text for review_85
86,u_11,1,2.46,Review text for review_86
87,u_70,1,3.75,Review text for review_87
88,u_46,2,4.52,Review text for review_88
89,u_60,1,4.39,Review text for review_89
90,u_1,1,2.25,Review text for review_90
91,u_41,2,1.91,Review text for review_91
92,u_73,2,2.4,Review text for review_92
93,u_55,1,3.35,Review text for review_93
94,u_86,2,1.78,Review text for review_94
95,u_90,2,3.27,Review text for review_95
96,u_6,2,4.98,Review text for review_96
97,u_28,1,2.69,Review text for review_97
98,u_45,1,3.8,Review text for review_98
99,u_33,1,3.4,Review text for review_99
100,u_5,1,2.04,Review text for review_100
101,u_17,1,4.06,Review text for review_101
102,u_19,1,2.29,Review text for review_102
103,u_47,1,3.48,Review text for review_103
104,u_15,1,4.67,Review text for review_104
105,u_96,2,1.74,Review text for review_105
106,u_38,2,4.41,Review text for review_106
107,u_29,2,1.9,Review text for review_107
108,u_74,1,1.72,Review text for review_108
109,u_39,1,3.03,Review text for review_109
110,u_97,1,3.08,Review text for review_110
111,u_86,2,2.2,Review text for review_111
112,u_43,1,2.91,Review text for review_112
113,u_33,2,3.92,Review text for review_113
114,u_25,2,4.69,Review text for review_114
115,u_98,1,4.83,Review text for review_115
116,u_46,1,3.28,Review text for review_116
117,u_96,1,4.57,Review text for review_117
118,u_28,2,1.07,Review text for review_118
119,u_21,2,1.54,Review text for review_119
120,u_4,1,4.49,Review text for review_120
121,u_45,2,2.73,Review text for review_121
122,u_43,2,1.29,Review text for review_122
123,u_80,2,4.26,Review text for review_123
124,u_63,2,1.65,Review text for review_124
125,u_34,1,2.28,Review text for review_125
126,u_29,1,3.95,Review text for review_126
127,u_83,1,1.1,Review text for review_127
128,u_31,2,2.2,Review text for review_128
129,u_25,2,1.78,Review text for review_129
130,u_22,2,3.41,Review text for review_130
131,u_42,1,4.6,Review text for review_131
132,u_80,2,3.69,Review text for review_132
133,u_83,2,1.46,Review text for review_133
134,u_16,1,4.0,Review text for review_134
135,u_43,2,1.92,Review text for review_135
136,u_87,2,2.6,Review text for review_136
137,u_48,1,3.74,Review text for review_137
138,u_56,1,3.96,Review text for review_138
139,u_67,1,1.9,Review text for review_139
140,u_38,2,2.6,Review text for review_140
141,u_35,2,4.21,Review text for review_141
142,u_52,2,4.22,Review text for review_142
143,u_18,2,2.89,Review text for review_143
144,u_29,1,1.2,Review text for review_144
145,u_91,1,1.79,Review text for review_145
146,u_10,1,1.91,Review text for review_146
147,u_95,1,2.13,Review text for review_147
148,u_80,1,3.08,Review text for review_148
149,u_63,1,1.83,Review text for review_149
150,u_24,2,4.57,Review text for review_150
151,u_52,2,2.41,Review text for review_151
152,u_29,2,4.23,Review text for review_152
153,u_67,2,2.03,Review text for review_153
154,u_60,1,4.82,Review text for review_154
155,u_96,2,1.61,Review text for review_155
156,u_50,2,1.28,Review text for review_156
157,u_35,2,2.32,Review text for review_157
158,u_24,1,1.45,Review text for review_158
159,u_77,1,4.18,Review text for review_159
160,u_91,1,1.88,Review text for review_160
161,u_33,2,4.63,Review text for review_161
162,u_1,2,2.63,Review text for review_162
163,u_68,2,3.66,Review text for review_163
164,u_40,1,2.81,Review text for review_164
165,u_65,2,1.95,Review text for review_165
166,u_72,1,3.97,Review text for review_166
167,u_19,2,1.91,Review text for review_167
168,u_32,1,3.52,Review text for review_168
169,u_9,2,2.88,Review text for review_169
170,u_30,2,1.04,Review text for review_170
171,u_57,2,1.42,Review text for review_171
172,u_84,1,3.23,Review text for review_172
173,u_57,2,1.51,Review text for review_173
174,u_88,1,1.94,Review text for review_174
175,u_78,2,1.67,Review text for review_175
176,u_15,1,1.33,Review text for review_176
177,u_24,1,4.6,Review text for review_177
178,u_36,2,3.04,Review text for review_178
179,u_30,2,3.56,Review text for review_179
180,u_58,1,1.84,Review text for review_180
181,u_91,1,4.58,Review text for review_181
182,u_16,2,3.59,Review text for review_182
183,u_16,2,2.91,Review text for review_183
184,u_74,1,4.55,Review text for review_184
185,u_89,2,4.71,Review text for review_185
186,u_91,1,4.33,Review text for review_186
187,u_92,1,3.05,Review text for review_187
188,u_29,1,1.85,Review text for review_188
189,u_30,1,4.49,Review text for review_189
190,u_84,1,4.09,Review text for review_190
191,u_37,1,4.46,Review text for review_191
192,u_62,2,3.13,Review text for review_192
193,u_87,2,3.48,Review text for review_193
194,u_54,1,1.36,Review text for review_194
195,u_77,2,4.42,Review text for review_195
196,u_9,1,1.46,Review text for review_196
197,u_73,2,1.92,Review text for review_197
198,u_72,2,2.22,Review text for review_198
199,u_21,1,3.1,Review text for review_199
200,u_37,2,4.86,Review text for review_200
201,u_34,1,3.77,Review text for review_201
202,u_37,1,4.48,Review text for review_202
203,u_6,1,4.88,Review text for review_203
204,u_56,2,1.21,Review text for review_204
205,u_28,2,2.56,Review text for review_205
206,u_46,1,1.97,Review text for review_206
207,u_58,1,1.7,Review text for review_207
208,u_20,2,2.09,Review text for review_208
209,u_27,1,1.24,Review text for review_209
210,u_54,2,3.27,Review text for review_210
211,u_49,2,1.74,Review text for review_211
212,u_77,2,2.25,Review text for review_212
213,u_5,1,1.46,Review text for review_213
214,u_91,2,3.21,Review text for review_214
215,u_91,2,4.04,Review text for review_215
216,u_12,2,1.21,Review text for review_216
217,u_88,2,1.84,Review text for review_217
218,u_11,1,1.94,Review text for review_218
219,u_81,1,4.06,Review text for review_219
220,u_55,2,4.26,Review text for review_220
221,u_41,1,4.46,Review text for review_221
222,u_93,1,3.15,Review text for review_222
223,u_53,1,1.15,Review text for review_223
224,u_68,1,1.6,Review text for review_224
225,u_38,1,2.02,Review text for review_225
226,u_15,1,4.94,Review text for review_226
227,u_37,2,2.51,Review text for review_227
228,u_51,1,1.62,Review text for review_228
229,u_3,1,2.15,Review text for review_229
230,u_73,2,3.43,Review text for review_230
231,u_20,2,4.84,Review text for review_231
232,u_49,1,1.96,Review text for review_232
233,u_19,2,2.03,Review text for review_233
234,u_34,1,4.03,Review text for review_234
235,u_97,1,2.68,Review text for review_235
236,u_69,1,2.07,Review text for review_236
237,u_64,2,1.76,Review text for review_237
238,u_36,1,4.81,Review text for review_238
239,u_17,1,4.32,Review text for review_239
240,u_81,2,4.16,Review text for review_240
241,u_85,2,4.13,Review text for review_241
242,u_43,1,1.73,Review text for review_242
243,u_67,2,4.0,Review text for review_243
244,u_63,1,3.42,Review text for review_244
245,u_91,1,3.8,Review text for review_245
246,u_38,2,2.45,Review text for review_246
247,u_1,2,2.44,Review text for review_247
248,u_3,1,1.0,Review text for review_248
249,u_4,2,1.8,Review text for review_249
250,u_90,2,1.42,Review text for review_250
251,u_12,2,3.31,Review text for review_251
252,u_18,2,2.16,Review text for review_252
253,u_56,1,3.39,Review text for review_253
254,u_53,1,1.64,Review text for review_254
255,u_36,2,4.74,Review text for review_255
256,u_60,1,2.34,Review text for review_256
257,u_30,2,1.83,Review text for review_257
258,u_64,2,2.97,Review text for review_258
259,u_48,1,2.61,Review text for review_259
260,u_38,1,2.6,Review text for review_260
261,u_1,2,3.93,Review text for review_261
262,u_26,1,4.79,Review text for review_262
263,u_94,2,2.63,Review text for review_263
264,u_32,2,1.94,Review text for review_264
265,u_4,1,3.3,Review text for review_265
266,u_68,1,3.1,Review text for review_266
267,u_9,2,4.79,Review text for review_267
268,u_59,2,2.41,Review text for review_268
269,u_59,1,4.71,Review text for review_269
270,u_32,1,4.19,Review text for review_270
271,u_44,2,3.65,Review text for review_271
272,u_78,1,1.28,Review text for review_272
273,u_29,2,1.62,Review text for review_273
274,u_52,1,2.53,Review text for review_274
275,u_36,1,4.99,Review text for review_275
276,u_61,1,4.55,Review text for review_276
277,u_64,1,3.93,Review text for review_277
278,u_9,2,1.57,Review text for review_278
279,u_50,1,4.52,Review text for review_279
280,u_15,2,3.75,Review text for review_280
281,u_82,1,3.23,Review text for review_281
282,u_77,2,4.3,Review text for review_282
283,u_43,2,4.0,Review text for review_283
284,u_9,1,4.21,Review text for review_284
285,u_91,2,2.35,Review text for review_285
286,u_5,2,4.18,Review text for review_286
287,u_6,1,4.4,Review text for review_287
288,u_37,1,3.09,Review text for review_288
289,u_38,2,2.57,Review text for review_289
290,u_21,1,2.57,Review text for review_290
291,u_14,2,2.64,Review text for review_291
292,u_52,1,4.03,Review text for review_292
293,u_26,1,2.58,Review text for review_293
294,u_28,1,3.78,Review text for review_294
295,u_18,1,2.61,Review text for review_295
296,u_55,1,2.79,Review text for review_296
297,u_79,1,2.24,Review text for review_297
298,u_66,1,1.66,Review text for review_298
299,u_33,1,1.91,Review text for review_299
300,u_45,2,4.29,Review text for review_300
