review_id,user_id,hotel_id,rating,review_txt
1,u_85,h_4,4.53,Review text for review_1
2,u_95,h_10,3.33,Review text for review_2
3,u_72,h_23,4.05,Review text for review_3
4,u_99,h_38,2.96,Review text for review_4
5,u_22,h_28,3.68,Review text for review_5
6,u_1,h_30,3.53,Review text for review_6
7,u_86,h_12,1.14,Review text for review_7
8,u_93,h_34,1.09,Review text for review_8
9,u_50,h_3,1.29,Review text for review_9
10,u_90,h_30,1.24,Review text for review_10
11,u_64,h_22,2.38,Review text for review_11
12,u_75,h_11,3.01,Review text for review_12
13,u_88,h_43,2.94,Review text for review_13
14,u_50,h_11,4.14,Review text for review_14
15,u_87,h_33,4.69,Review text for review_15
16,u_20,h_43,2.13,Review text for review_16
17,u_57,h_2,3.24,Review text for review_17
18,u_95,h_49,4.47,Review text for review_18
19,u_11,h_37,3.5,Review text for review_19
20,u_38,h_47,1.37,Review text for review_20
21,u_11,h_39,3.76,Review text for review_21
22,u_94,h_35,3.74,Review text for review_22
23,u_45,h_2,1.36,Review text for review_23
24,u_5,h_43,3.88,Review text for review_24
25,u_83,h_2,2.67,Review text for review_25
26,u_17,h_4,2.65,Review text for review_26
27,u_84,h_11,2.35,Review text for review_27
28,u_40,h_47,4.22,Review text for review_28
29,u_98,h_1,4.02,Review text for review_29
30,u_79,h_47,1.82,Review text for review_30
31,u_97,h_50,3.6,Review text for review_31
32,u_87,h_44,2.46,Review text for review_32
33,u_15,h_26,2.41,Review text for review_33
34,u_17,h_22,1.93,Review text for review_34
35,u_51,h_14,1.35,Review text for review_35
36,u_100,h_38,3.32,Review text for review_36
37,u_77,h_29,3.16,Review text for review_37
38,u_6,h_45,2.36,Review text for review_38
39,u_59,h_34,2.03,Review text for review_39
40,u_99,h_36,1.45,Review text for review_40
41,u_7,h_32,1.57,Review text for review_41
42,u_88,h_19,4.26,Review text for review_42
43,u_53,h_47,2.01,Review text for review_43
44,u_35,h_44,4.15,Review text for review_44
45,u_2,h_31,1.64,Review text for review_45
46,u_15,h_1,2.53,Review text for review_46
47,u_2,h_28,3.43,Review text for review_47
48,u_99,h_32,4.34,Review text for review_48
49,u_40,h_48,3.51,Review text for review_49
50,u_24,h_13,3.8,Review text for review_50
51,u_67,h_10,1.15,Review text for review_51
52,u_20,h_2,1.2,Review text for review_52
53,u_3,h_15,1.17,Review text for review_53
54,u_18,h_18,2.18,Review text for review_54
55,u_71,h_49,3.33,Review text for review_55
56,u_48,h_44,2.49,Review text for review_56
57,u_57,h_7,1.51,Review text for review_57
58,u_90,h_29,4.77,Review text for review_58
59,u_33,h_27,3.41,Review text for review_59
60,u_64,h_22,2.54,Review text for review_60
61,u_59,h_50,4.81,Review text for review_61
62,u_30,h_42,2.07,Review text for review_62
63,u_78,h_30,3.59,Review text for review_63
64,u_4,h_43,3.93,Review text for review_64
65,u_67,h_40,1.28,Review text for review_65
66,u_16,h_32,4.95,Review text for review_66
67,u_80,h_22,3.72,Review text for review_67
68,u_84,h_17,1.56,Review text for review_68
69,u_90,h_19,2.97,Review text for review_69
70,u_82,h_44,4.69,Review text for review_70
71,u_94,h_47,2.59,Review text for review_71
72,u_87,h_19,4.9,Review text for review_72
73,u_33,h_28,4.2,Review text for review_73
74,u_67,h_20,1.18,Review text for review_74
75,u_47,h_31,3.04,Review text for review_75
76,u_6,h_13,2.47,Review text for review_76
77,u_3,h_19,4.35,Review text for review_77
78,u_80,h_41,1.9,Review text for review_78
79,u_55,h_37,4.62,Review text for review_79
80,u_97,h_8,1.37,Review text for review_80
81,u_54,h_6,2.59,Review text for review_81
82,u_1,h_30,1.93,Review text for review_82
83,u_39,h_39,1.46,Review text for review_83
84,u_97,h_8,2.01,Review text for review_84
85,u_60,h_12,2.35,Review text for review_85
86,u_37,h_15,3.63,Review text for review_86
87,u_6,h_7,1.01,Review text for review_87
88,u_71,h_48,2.42,Review text for review_88
89,u_6,h_16,2.82,Review text for review_89
90,u_11,h_14,4.12,Review text for review_90
91,u_27,h_38,3.26,Review text for review_91
92,u_94,h_8,1.81,Review text for review_92
93,u_96,h_16,3.37,Review text for review_93
94,u_86,h_38,2.87,Review text for review_94
95,u_85,h_18,4.39,Review text for review_95
96,u_7,h_17,2.19,Review text for review_96
97,u_77,h_50,3.78,Review text for review_97
98,u_7,h_20,3.97,Review text for review_98
99,u_20,h_23,1.49,Review text for review_99
100,u_76,h_44,2.36,Review text for review_100
101,u_59,h_36,3.82,Review text for review_101
102,u_51,h_26,4.87,Review text for review_102
103,u_31,h_37,1.07,Review text for review_103
104,u_36,h_5,1.71,Review text for review_104
105,u_63,h_16,3.41,Review text for review_105
106,u_19,h_9,2.84,Review text for review_106
107,u_20,h_13,3.34,Review text for review_107
108,u_29,h_24,3.2,Review text for review_108
109,u_15,h_18,3.95,Review text for review_109
110,u_9,h_2,1.41,Review text for review_110
111,u_3,h_5,3.2,Review text for review_111
112,u_68,h_2,2.48,Review text for review_112
113,u_59,h_44,1.54,Review text for review_113
114,u_24,h_18,2.32,Review text for review_114
115,u_16,h_15,3.6,Review text for review_115
116,u_92,h_32,1.65,Review text for review_116
117,u_52,h_1,1.54,Review text for review_117
118,u_12,h_7,3.0,Review text for review_118
119,u_73,h_15,4.34,Review text for review_119
120,u_59,h_12,1.39,Review text for review_120
121,u_72,h_15,3.69,Review text for review_121
122,u_13,h_29,1.89,Review text for review_122
123,u_33,h_31,1.83,Review text for review_123
124,u_16,h_9,4.81,Review text for review_124
125,u_72,h_15,1.53,Review text for review_125
126,u_41,h_30,2.19,Review text for review_126
127,u_38,h_49,2.25,Review text for review_127
128,u_27,h_21,4.03,Review text for review_128
129,u_23,h_9,1.96,Review text for review_129
130,u_99,h_47,4.58,Review text for review_130
131,u_53,h_47,1.17,Review text for review_131
132,u_77,h_47,2.51,Review text for review_132
133,u_30,h_26,4.42,Review text for review_133
134,u_14,h_7,1.89,Review text for review_134
135,u_12,h_23,4.97,Review text for review_135
136,u_93,h_23,1.33,Review text for review_136
137,u_6,h_9,3.55,Review text for review_137
138,u_51,h_33,3.2,Review text for review_138
139,u_21,h_32,3.87,Review text for review_139
140,u_64,h_23,4.75,Review text for review_140
141,u_42,h_50,2.75,Review text for review_141
142,u_16,h_46,2.0,Review text for review_142
143,u_93,h_5,2.6,Review text for review_143
144,u_58,h_27,2.72,Review text for review_144
145,u_85,h_18,4.07,Review text for review_145
146,u_21,h_44,3.91,Review text for review_146
147,u_9,h_23,1.13,Review text for review_147
148,u_4,h_12,3.12,Review text for review_148
149,u_78,h_4,3.0,Review text for review_149
150,u_95,h_11,3.05,Review text for review_150
151,u_6,h_20,1.82,Review text for review_151
152,u_92,h_16,3.93,Review text for review_152
153,u_56,h_9,3.75,Review text for review_153
154,u_27,h_19,2.87,Review text for review_154
155,u_73,h_23,1.44,Review text for review_155
156,u_25,h_27,1.87,Review text for review_156
157,u_93,h_4,4.1,Review text for review_157
158,u_3,h_8,2.61,Review text for review_158
159,u_68,h_39,1.39,Review text for review_159
160,u_53,h_33,4.63,Review text for review_160
161,u_18,h_36,2.01,Review text for review_161
162,u_72,h_29,4.77,Review text for review_162
163,u_43,h_34,4.5,Review text for review_163
164,u_5,h_16,4.26,Review text for review_164
165,u_46,h_32,1.95,Review text for review_165
166,u_77,h_1,2.71,Review text for review_166
167,u_84,h_8,1.49,Review text for review_167
168,u_85,h_49,1.88,Review text for review_168
169,u_1,h_27,2.64,Review text for review_169
170,u_1,h_6,4.92,Review text for review_170
171,u_50,h_41,2.9,Review text for review_171
172,u_16,h_31,3.98,Review text for review_172
173,u_13,h_17,4.43,Review text for review_173
174,u_19,h_21,1.25,Review text for review_174
175,u_77,h_15,3.13,Review text for review_175
176,u_16,h_47,3.11,Review text for review_176
177,u_50,h_49,4.3,Review text for review_177
178,u_70,h_29,4.4,Review text for review_178
179,u_39,h_49,4.34,Review text for review_179
180,u_83,h_7,1.58,Review text for review_180
181,u_94,h_7,3.2,Review text for review_181
182,u_14,h_26,4.11,Review text for review_182
183,u_13,h_2,1.27,Review text for review_183
184,u_61,h_13,3.71,Review text for review_184
185,u_75,h_50,4.11,Review text for review_185
186,u_78,h_10,1.05,Review text for review_186
187,u_97,h_18,1.6,Review text for review_187
188,u_78,h_17,4.97,Review text for review_188
189,u_17,h_42,3.16,Review text for review_189
190,u_54,h_41,1.42,Review text for review_190
191,u_85,h_22,2.42,Review text for review_191
192,u_5,h_18,3.87,Review text for review_192
193,u_46,h_43,4.91,Review text for review_193
194,u_88,h_2,2.37,Review text for review_194
195,u_27,h_10,1.66,Review text for review_195
196,u_15,h_50,1.98,Review text for review_196
197,u_14,h_24,1.38,Review text for review_197
198,u_52,h_11,2.77,Review text for review_198
199,u_53,h_20,1.17,Review text for review_199
200,u_84,h_9,3.64,Review text for review_200
201,u_42,h_8,2.8,Review text for review_201
202,u_30,h_8,3.42,Review text for review_202
203,u_54,h_10,4.96,Review text for review_203
204,u_20,h_18,4.5,Review text for review_204
205,u_36,h_43,3.18,Review text for review_205
206,u_99,h_3,4.22,Review text for review_206
207,u_94,h_17,1.79,Review text for review_207
208,u_83,h_25,3.85,Review text for review_208
209,u_100,h_20,2.48,Review text for review_209
210,u_53,h_1,4.5,Review text for review_210
211,u_68,h_49,3.45,Review text for review_211
212,u_80,h_20,1.77,Review text for review_212
213,u_96,h_41,2.35,Review text for review_213
214,u_87,h_34,2.21,Review text for review_214
215,u_48,h_40,3.82,Review text for review_215
216,u_64,h_43,4.69,Review text for review_216
217,u_27,h_26,3.9,Review text for review_217
218,u_25,h_17,1.63,Review text for review_218
219,u_72,h_2,4.22,Review text for review_219
220,u_43,h_41,3.53,Review text for review_220
221,u_91,h_10,4.7,Review text for review_221
222,u_53,h_7,3.35,Review text for review_222
223,u_84,h_10,2.89,Review text for review_223
224,u_75,h_47,2.15,Review text for review_224
225,u_32,h_18,4.14,Review text for review_225
226,u_9,h_2,3.54,Review text for review_226
227,u_70,h_40,2.7,Review text for review_227
228,u_62,h_34,4.04,Review text for review_228
229,u_95,h_48,3.86,Review text for review_229
230,u_4,h_22,1.25,Review text for review_230
231,u_35,h_8,1.29,Review text for review_231
232,u_25,h_7,2.11,Review text for review_232
233,u_25,h_22,4.9,Review text for review_233
234,u_27,h_19,2.63,Review text for review_234
235,u_13,h_33,3.08,Review text for review_235
236,u_38,h_38,2.78,Review text for review_236
237,u_10,h_27,4.3,Review text for review_237
238,u_36,h_19,2.56,Review text for review_238
239,u_94,h_35,1.01,Review text for review_239
240,u_83,h_50,2.35,Review text for review_240
241,u_75,h_12,4.76,Review text for review_241
242,u_42,h_9,1.07,Review text for review_242
243,u_46,h_34,3.91,Review text for review_243
244,u_32,h_4,3.12,Review text for review_244
245,u_51,h_9,2.54,Review text for review_245
246,u_75,h_36,4.37,Review text for review_246
247,u_96,h_43,1.83,Review text for review_247
248,u_80,h_5,1.31,Review text for review_248
249,u_43,h_16,1.53,Review text for review_249
250,u_6,h_38,1.72,Review text for review_250
251,u_94,h_34,2.79,Review text for review_251
252,u_8,h_40,1.32,Review text for review_252
253,u_2,h_14,4.44,Review text for review_253
254,u_4,h_16,4.27,Review text for review_254
255,u_33,h_27,3.12,Review text for review_255
256,u_75,h_45,4.58,Review text for review_256
257,u_35,h_41,1.85,Review text for review_257
258,u_41,h_26,3.2,Review text for review_258
259,u_50,h_50,2.44,Review text for review_259
260,u_24,h_48,3.53,Review text for review_260
261,u_91,h_38,2.18,Review text for review_261
262,u_93,h_42,4.03,Review text for review_262
263,u_29,h_23,2.2,Review text for review_263
264,u_39,h_34,4.76,Review text for review_264
265,u_67,h_6,1.61,Review text for review_265
266,u_91,h_44,3.75,Review text for review_266
267,u_5,h_19,1.89,Review text for review_267
268,u_86,h_32,4.23,Review text for review_268
269,u_24,h_6,1.98,Review text for review_269
270,u_62,h_28,1.88,Review text for review_270
271,u_71,h_10,1.69,Review text for review_271
272,u_76,h_15,2.08,Review text for review_272
273,u_78,h_22,2.06,Review text for review_273
274,u_85,h_6,3.62,Review text for review_274
275,u_5,h_22,2.04,Review text for review_275
276,u_36,h_15,3.77,Review text for review_276
277,u_26,h_40,3.85,Review text for review_277
278,u_61,h_28,4.32,Review text for review_278
279,u_68,h_44,2.92,Review text for review_279
280,u_10,h_33,4.16,Review text for review_280
281,u_30,h_8,3.75,Review text for review_281
282,u_89,h_36,4.71,Review text for review_282
283,u_1,h_2,2.84,Review text for review_283
284,u_75,h_9,2.37,Review text for review_284
285,u_40,h_49,4.02,Review text for review_285
286,u_88,h_48,2.61,Review text for review_286
287,u_8,h_31,3.73,Review text for review_287
288,u_1,h_42,2.33,Review text for review_288
289,u_75,h_36,2.56,Review text for review_289
290,u_68,h_27,4.93,Review text for review_290
291,u_18,h_25,4.48,Review text for review_291
292,u_61,h_20,1.58,Review text for review_292
293,u_79,h_31,1.59,Review text for review_293
294,u_23,h_18,1.52,Review text for review_294
295,u_36,h_47,3.23,Review text for review_295
296,u_25,h_35,2.41,Review text for review_296
297,u_39,h_12,4.9,Review text for review_297
298,u_71,h_43,2.79,Review text for review_298
299,u_40,h_9,4.77,Review text for review_299
300,u_32,h_10,3.7,Review text for review_300
